ID  ,name  ,width,height,Wu  ,Syromolotov,Wolter,Olšák,Simpson,Lagerkvist/Gecode,Kjellerstrand/Gecode,Kjellerstrand/Lazyfd,pynogram_my,nonogrid_my
1   ,Dancer,5    ,10    ,12.9,11.3       ,13.6  ,7.2  ,3.8    ,106.5            ,108.9               ,20.5                ,166        ,13.78
23  ,Edge  ,10   ,11    ,13.0,11.3       ,14.9  ,7.2  ,3.8    ,106.5            ,109.2               ,23.1                ,170.9      ,13.78
6   ,Cat   ,20   ,20    ,12.9,11.3       ,13.6  ,7.2  ,3.8    ,106.5            ,109.2               ,56.6                ,172.85     ,13.78
2413,Smoke ,20   ,20    ,13.0,11.4       ,14.9  ,7.2  ,3.8    ,106.5            ,109.5               ,68.3                ,177.73     ,13.78
6739,Karate,40   ,40    ,14.4,12.2       ,21.5  ,7.2  ,3.8    ,                 ,                    ,345.3               ,189.45     ,17.17
4645,M&M   ,50   ,70    ,    ,14.0       ,16.5  ,7.2  ,3.8    ,106.5            ,122.3               ,689.2               ,197.27     ,19.83
8098,9-Dom ,19   ,19    ,33.9,12.9       ,32.0  ,     ,       ,                 ,111.1               ,48.5                ,878.91     ,29.83
